ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772910844999,sta2,200,4.021,02:00:00:00:02:00,-64.0
1772910845133,sta2,200,6.198,02:00:00:00:02:00,-64.0
1772910845270,sta2,200,7.107,02:00:00:00:02:00,-64.0
1772910845408,sta2,200,5.053,02:00:00:00:02:00,-64.0
1772910845545,sta2,200,7.302,02:00:00:00:02:00,-64.0
1772910845683,sta2,200,5.894,02:00:00:00:02:00,-64.0
1772910845820,sta2,200,6.533,02:00:00:00:02:00,-64.0
1772910845957,sta2,200,6.409,02:00:00:00:02:00,-64.0
1772910846096,sta2,200,4.354,02:00:00:00:02:00,-64.0
1772910846229,sta2,200,7.727,02:00:00:00:02:00,-64.0
1772910846368,sta2,200,7.331,02:00:00:00:02:00,-64.0
1772910846505,sta2,200,5.716,02:00:00:00:02:00,-64.0
1772910846642,sta2,200,4.751,02:00:00:00:02:00,-64.0
1772910846778,sta2,200,3.176,02:00:00:00:02:00,-64.0
1772910846910,sta2,200,6.827,02:00:00:00:02:00,-64.0
1772910847047,sta2,200,6.164,02:00:00:00:02:00,-64.0
1772910847185,sta2,200,6.134,02:00:00:00:02:00,-64.0
1772910847322,sta2,200,4.702,02:00:00:00:02:00,-64.0
1772910847456,sta2,200,6.643,02:00:00:00:02:00,-64.0
1772910847593,sta2,200,5.304,02:00:00:00:02:00,-64.0
1772910847729,sta2,200,7.699,02:00:00:00:02:00,-64.0
1772910847869,sta2,200,6.977,02:00:00:00:02:00,-64.0
1772910848005,sta2,200,4.946,02:00:00:00:02:00,-64.0
1772910848140,sta2,200,6.289,02:00:00:00:02:00,-64.0
1772910848277,sta2,200,6.395,02:00:00:00:02:00,-64.0
1772910848413,sta2,200,4.922,02:00:00:00:02:00,-64.0
1772910848547,sta2,200,7.82,02:00:00:00:02:00,-64.0
1772910848685,sta2,200,7.02,02:00:00:00:02:00,-64.0
1772910848823,sta2,200,5.878,02:00:00:00:02:00,-64.0
1772910848958,sta2,200,5.156,02:00:00:00:02:00,-64.0
1772910849093,sta2,200,7.502,02:00:00:00:02:00,-64.0
1772910849230,sta2,200,6.087,02:00:00:00:02:00,-64.0
1772910849366,sta2,200,6.86,02:00:00:00:02:00,-64.0
1772910849503,sta2,200,6.489,02:00:00:00:02:00,-64.0
