ts_ms,sta,ap,rssi_dbm
1772755141996,sta1,ap1-wlan1,-56
1772755141996,sta2,ap1-wlan1,-56
1772755142996,sta1,ap1-wlan1,-56
1772755142996,sta2,ap1-wlan1,-56
1772755143997,sta1,ap1-wlan1,-56
1772755143997,sta2,ap1-wlan1,-56
1772755144997,sta1,ap1-wlan1,-56
1772755144997,sta2,ap1-wlan1,-56
1772755145997,sta1,ap1-wlan1,-56
1772755145997,sta2,ap1-wlan1,-56
1772755146998,sta1,ap1-wlan1,-56
1772755146998,sta2,ap1-wlan1,-56
1772755147998,sta1,ap1-wlan1,-56
1772755147998,sta2,ap1-wlan1,-56
1772755148998,sta1,ap1-wlan1,-56
1772755148998,sta2,ap1-wlan1,-56
1772755149999,sta1,ap2-wlan1,-45
1772755149999,sta2,ap2-wlan1,-45
1772755150999,sta1,ap2-wlan1,-45
1772755150999,sta2,ap2-wlan1,-45
1772755151999,sta1,ap2-wlan1,-45
1772755151999,sta2,ap2-wlan1,-45
1772755152999,sta1,ap2-wlan1,-45
1772755152999,sta2,ap2-wlan1,-45
1772755154000,sta1,ap2-wlan1,-45
1772755154000,sta2,ap2-wlan1,-45
1772755155000,sta1,ap2-wlan1,-45
1772755155000,sta2,ap2-wlan1,-45
1772755156001,sta1,ap2-wlan1,-45
1772755156001,sta2,ap2-wlan1,-45
1772755157001,sta1,ap2-wlan1,-45
1772755157001,sta2,ap2-wlan1,-45
1772755158001,sta1,ap2-wlan1,-45
1772755158001,sta2,ap2-wlan1,-45
1772755159002,sta1,ap2-wlan1,-45
1772755159002,sta2,ap2-wlan1,-45
1772755160002,sta1,ap2-wlan1,-45
1772755160002,sta2,ap2-wlan1,-45
1772755161003,sta1,ap2-wlan1,-45
1772755161003,sta2,ap2-wlan1,-45
1772755162003,sta1,ap2-wlan1,-45
1772755162003,sta2,ap2-wlan1,-45
1772755163003,sta1,ap2-wlan1,-45
1772755163003,sta2,ap2-wlan1,-45
1772755164003,sta1,ap2-wlan1,-45
1772755164003,sta2,ap2-wlan1,-45
1772755165004,sta1,ap2-wlan1,-45
1772755165004,sta2,ap2-wlan1,-45
1772755166004,sta1,ap2-wlan1,-45
1772755166004,sta2,ap2-wlan1,-45
1772755167004,sta1,ap2-wlan1,-45
1772755167004,sta2,ap2-wlan1,-45
1772755168005,sta1,ap2-wlan1,-45
1772755168005,sta2,ap2-wlan1,-45
1772755169005,sta1,ap2-wlan1,-45
1772755169005,sta2,ap2-wlan1,-45
1772755170005,sta1,ap2-wlan1,-45
