ts_ms,sta,status_code,latency_ms
1772650919340,sta2,200,16.030
1772650919342,sta1,200,18.646
1772650919411,sta2,200,20.406
1772650919411,sta1,200,18.385
1772650919479,sta2,200,17.536
1772650919479,sta1,200,17.614
1772650919551,sta1,200,21.073
1772650919551,sta2,200,21.725
1772650919619,sta2,200,17.842
1772650919621,sta1,200,19.177
1772650919689,sta1,200,17.961
1772650919689,sta2,200,19.167
1772650919760,sta1,200,20.401
1772650919760,sta2,200,20.639
1772650919828,sta1,200,17.580
1772650919829,sta2,200,18.322
1772650919898,sta2,200,19.190
1772650919899,sta1,200,20.268
1772650919968,sta2,200,18.680
1772650919968,sta1,200,18.747
1772650920038,sta1,200,19.088
1772650920038,sta2,200,19.472
1772650920105,sta1,200,16.530
1772650920106,sta2,200,17.389
1772650920174,sta1,200,19.136
1772650920175,sta2,200,18.372
1772650920243,sta2,200,17.702
1772650920243,sta1,200,18.367
1772650920312,sta2,200,19.099
1772650920312,sta1,200,18.939
1772650920380,sta2,200,17.551
1772650920381,sta1,200,17.853
1772650920450,sta2,200,19.058
1772650920450,sta1,200,18.788
1772650920520,sta1,200,19.898
1772650920521,sta2,200,20.192
1772650920591,sta2,200,19.489
1772650920591,sta1,200,20.247
1772650920659,sta1,200,17.756
1772650920660,sta2,200,18.948
1772650920729,sta2,200,17.972
1772650920729,sta1,200,18.855
1772650920799,sta2,200,19.574
1772650920799,sta1,200,19.537
1772650920870,sta2,200,20.223
1772650920870,sta1,200,20.042
1772650920936,sta1,200,16.058
1772650920937,sta2,200,16.437
1772650921004,sta2,200,16.846
1772650921005,sta1,200,18.036
1772650921072,sta2,200,17.048
1772650921072,sta1,200,16.837
1772650921139,sta2,200,17.087
1772650921140,sta1,200,17.620
1772650921210,sta2,200,19.930
1772650921210,sta1,200,19.252
1772650921279,sta1,200,18.358
1772650921279,sta2,200,18.790
1772650921349,sta1,200,19.588
1772650921349,sta2,200,19.494
1772650921418,sta1,200,19.191
1772650921419,sta2,200,19.229
1772650921490,sta2,200,20.739
1772650921490,sta1,200,21.157
1772650921558,sta1,200,17.108
1772650921558,sta2,200,18.019
1772650921627,sta1,200,18.406
1772650921627,sta2,200,18.516
1772650921695,sta1,200,18.208
1772650921696,sta2,200,17.785
1772650921765,sta1,200,19.372
1772650921766,sta2,200,19.194
1772650921833,sta2,200,17.082
1772650921834,sta1,200,18.029
1772650921899,sta1,200,15.183
1772650921901,sta2,200,17.476
1772650921968,sta2,200,16.944
1772650921968,sta1,200,18.480
1772650922035,sta1,200,16.544
1772650922036,sta2,200,17.617
1772650922106,sta1,200,19.739
1772650922106,sta2,200,19.276
1772650922173,sta2,200,16.744
1772650922174,sta1,200,17.677
1772650922244,sta2,200,19.720
1772650922244,sta1,200,19.457
1772650922311,sta2,200,17.262
1772650922312,sta1,200,17.568
1772650922380,sta1,200,17.527
1772650922381,sta2,200,19.443
1772650922447,sta1,200,16.683
1772650922448,sta2,200,16.849
1772650922515,sta1,200,18.076
1772650922516,sta2,200,16.886
1772650922585,sta2,200,19.027
1772650922585,sta1,200,19.257
1772650922652,sta1,200,16.197
1772650922654,sta2,200,18.356
1772650922720,sta1,200,17.176
1772650922720,sta2,200,15.325
1772650922788,sta2,200,17.586
1772650922788,sta1,200,17.751
1772650922857,sta2,200,18.577
1772650922857,sta1,200,18.329
1772650922924,sta2,200,17.424
1772650922925,sta1,200,17.338
1772650922992,sta1,200,16.666
1772650922992,sta2,200,16.884
1772650923059,sta2,200,16.469
1772650923061,sta1,200,18.696
1772650923126,sta2,200,17.465
1772650923129,sta1,200,18.299
1772650923194,sta2,200,17.603
1772650923196,sta1,200,16.286
1772650923262,sta1,200,15.573
1772650923262,sta2,200,17.299
1772650923329,sta1,200,16.823
1772650923357,sta2,200,18.101
1772650923396,sta1,200,16.429
1772650923424,sta2,200,16.544
1772650923463,sta1,200,16.729
1772650923491,sta2,200,17.328
1772650923530,sta1,200,16.696
1772650923558,sta2,200,16.826
1772650923597,sta1,200,16.323
1772650923625,sta2,200,16.552
1772650923664,sta1,200,16.622
1772650923694,sta2,200,18.614
1772650923728,sta1,200,13.920
1772650923760,sta2,200,15.849
1772650923794,sta1,200,15.864
1772650923827,sta2,200,16.323
