ts_ms,sta,ap,rssi_dbm
1772839409408,sta2,,
1772839410408,sta1,,
1772839410408,sta2,,
1772839411408,sta1,,
1772839411408,sta2,,
1772839412409,sta1,,
1772839412409,sta2,,
1772839413409,sta1,,
1772839413409,sta2,,
1772839414410,sta1,,
1772839414410,sta2,,
1772839415410,sta1,,
1772839415410,sta2,,
1772839416411,sta1,,
1772839416411,sta2,,
1772839417411,sta1,,
1772839417411,sta2,,
1772839418411,sta1,,
1772839418411,sta2,,
1772839419412,sta1,,
1772839419412,sta2,,
1772839420412,sta1,,
1772839420412,sta2,,
1772839421413,sta1,,
1772839421413,sta2,,
1772839422413,sta1,,
1772839422413,sta2,,
1772839423413,sta1,,
1772839423413,sta2,,
1772839424414,sta1,,
1772839424414,sta2,,
1772839425414,sta1,,
1772839425414,sta2,,
1772839426415,sta1,,
1772839426415,sta2,,
1772839427415,sta1,,
1772839427415,sta2,,
1772839428416,sta1,,
1772839428416,sta2,,
1772839429416,sta1,,
1772839429416,sta2,,
1772839430416,sta1,,
1772839430416,sta2,,
1772839431417,sta1,,
1772839431417,sta2,,
1772839432417,sta1,,
1772839432417,sta2,,
1772839433418,sta1,,
1772839433418,sta2,,
1772839434418,sta1,,
1772839434418,sta2,,
1772839435419,sta1,,
1772839435419,sta2,,
1772839436419,sta1,,
1772839436419,sta2,,
1772839437419,sta1,,
1772839437419,sta2,,
1772839438420,sta1,,
1772839438420,sta2,,
1772839439420,sta1,,
1772839439420,sta2,,
1772839440420,sta1,,
1772839440420,sta2,,
1772839441421,sta1,,
1772839441421,sta2,,
1772839442421,sta1,,
1772839442421,sta2,,
1772839443422,sta1,,
1772839443422,sta2,,
1772839444422,sta1,,
1772839444422,sta2,,
1772839445422,sta1,,
1772839445422,sta2,,
1772839446423,sta1,,
1772839446423,sta2,,
1772839447423,sta1,,
1772839447423,sta2,,
1772839448424,sta1,,
1772839448424,sta2,,
1772839449424,sta1,,
1772839449424,sta2,,
1772839450424,sta1,,
1772839450424,sta2,,
1772839451425,sta1,,
1772839451425,sta2,,
1772839452425,sta1,,
1772839452425,sta2,,
1772839453426,sta1,,
1772839453426,sta2,,
1772839454426,sta1,,
1772839454426,sta2,,
1772839455427,sta1,,
1772839455427,sta2,,
1772839456427,sta1,,
1772839456427,sta2,,
1772839457428,sta1,,
1772839457428,sta2,,
1772839458428,sta1,,
1772839458428,sta2,,
1772839459429,sta1,,
1772839459429,sta2,,
1772839460429,sta1,,
1772839460429,sta2,,
1772839461430,sta1,,
1772839461430,sta2,,
1772839462430,sta1,,
1772839462430,sta2,,
1772839463430,sta1,,
1772839463430,sta2,,
1772839464431,sta1,,
1772839464431,sta2,,
1772839465431,sta1,,
1772839465431,sta2,,
1772839466432,sta1,,
1772839466432,sta2,,
1772839467432,sta1,,
1772839467432,sta2,,
1772839468432,sta1,,
1772839468432,sta2,,
1772839469433,sta1,,
1772839469433,sta2,,
1772839470433,sta1,,
1772839470433,sta2,,
1772839471434,sta1,,
1772839471434,sta2,,
1772839472434,sta1,,
1772839472434,sta2,,
1772839473435,sta1,,
1772839473435,sta2,,
1772839474435,sta1,,
1772839474435,sta2,,
1772839475435,sta1,,
1772839475435,sta2,,
1772839476436,sta1,,
1772839476436,sta2,,
1772839477436,sta1,,
1772839477436,sta2,,
1772839478437,sta1,,
1772839478437,sta2,,
1772839479437,sta1,,
1772839479437,sta2,,
1772839480438,sta1,,
1772839480438,sta2,,
1772839481438,sta1,,
1772839481438,sta2,,
1772839482439,sta1,,
1772839482439,sta2,,
1772839483439,sta1,,
1772839483439,sta2,,
1772839484439,sta1,,
1772839484439,sta2,,
1772839485440,sta1,,
1772839485440,sta2,,
1772839486440,sta1,,
1772839486440,sta2,,
1772839487441,sta1,,
1772839487441,sta2,,
1772839488441,sta1,,
1772839488441,sta2,,
1772839489441,sta1,,
1772839489441,sta2,,
1772839490442,sta1,,
1772839490442,sta2,,
1772839491442,sta1,,
1772839491442,sta2,,
1772839492443,sta1,,
1772839492443,sta2,,
1772839493443,sta1,,
1772839493443,sta2,,
1772839494443,sta1,,
1772839494443,sta2,,
1772839495444,sta1,,
1772839495444,sta2,,
1772839496444,sta1,,
1772839496444,sta2,,
1772839497445,sta1,,
1772839497445,sta2,,
1772839498445,sta1,,
1772839498445,sta2,,
1772839499446,sta1,,
1772839499446,sta2,,
1772839500446,sta1,,
1772839500446,sta2,,
1772839501446,sta1,,
1772839501446,sta2,,
1772839502447,sta1,,
1772839502447,sta2,,
1772839503447,sta1,,
