ts_ms,sta,status_code,latency_ms
1772915823753,sta2,200,8.278
1772915823753,sta1,200,9.031
1772915823892,sta1,200,8.236
1772915823891,sta2,200,8.480
1772915824031,sta2,200,5.330
1772915824031,sta1,200,5.876
1772915824168,sta2,200,5.656
1772915824169,sta1,200,7.008
1772915824304,sta1,200,4.092
1772915824303,sta2,200,3.760
1772915824434,sta1,200,3.651
1772915824434,sta2,200,4.041
1772915824564,sta2,200,3.790
1772915824564,sta1,200,3.722
1772915824694,sta2,200,3.773
1772915824694,sta1,200,3.322
1772915824823,sta1,200,6.566
1772915824823,sta2,200,7.707
1772915824962,sta2,200,8.092
1772915824961,sta1,200,8.849
1772915825104,sta1,200,7.158
1772915825103,sta2,200,8.285
1772915825238,sta1,200,6.090
1772915825240,sta2,200,6.265
1772915825375,sta1,200,6.289
1772915825375,sta2,200,6.360
1772915825512,sta1,200,6.483
1772915825512,sta2,200,7.128
1772915825648,sta1,200,6.305
1772915825649,sta2,200,6.059
1772915825784,sta1,200,9.196
1772915825785,sta2,200,8.909
1772915825927,sta1,200,5.277
1772915825927,sta2,200,5.731
1772915826062,sta1,200,4.523
1772915826063,sta2,200,5.666
1772915826195,sta1,200,4.322
1772915826196,sta2,200,4.775
1772915826330,sta2,200,5.643
1772915826329,sta1,200,6.006
1772915826465,sta1,200,6.417
1772915826465,sta2,200,6.955
1772915826604,sta1,200,7.657
1772915826605,sta2,200,5.904
1772915826742,sta1,200,5.378
1772915826743,sta2,200,6.840
1772915826877,sta1,200,4.011
1772915826879,sta2,200,4.943
1772915827013,sta2,200,5.367
1772915827010,sta1,200,5.962
1772915827145,sta2,200,4.510
1772915827146,sta1,200,5.038
1772915827278,sta2,200,7.404
1772915827281,sta1,200,5.701
1772915827417,sta2,200,5.760
1772915827420,sta1,200,6.092
1772915827555,sta2,200,6.180
1772915827558,sta1,200,5.654
1772915827692,sta2,200,5.059
1772915827695,sta1,200,5.817
1772915827827,sta2,200,5.050
1772915827830,sta1,200,5.156
1772915827963,sta1,200,7.092
1772915827963,sta2,200,7.405
1772915828101,sta1,200,4.770
1772915828101,sta2,200,5.372
1772915828235,sta2,200,4.953
1772915828234,sta1,200,5.613
1772915828369,sta2,200,7.843
1772915828371,sta1,200,6.868
1772915828508,sta1,200,6.401
1772915828508,sta2,200,7.529
1772915828645,sta1,200,6.758
1772915828645,sta2,200,8.196
1772915828785,sta1,200,8.479
1772915828785,sta2,200,7.002
1772915828925,sta2,200,3.116
1772915828925,sta1,200,3.968
1772915829056,sta2,200,6.347
1772915829058,sta1,200,5.793
1772915829193,sta1,200,6.846
1772915829192,sta2,200,7.592
1772915829333,sta2,200,6.802
1772915829332,sta1,200,7.544
1772915829472,sta2,200,5.501
1772915829474,sta1,200,6.033
1772915829610,sta1,200,6.471
1772915829608,sta2,200,7.517
1772915829745,sta1,200,3.234
1772915829746,sta2,200,5.122
1772915829877,sta1,200,6.217
1772915829881,sta2,200,4.349
1772915830015,sta1,200,5.056
1772915830017,sta2,200,6.070
1772915830150,sta1,200,5.203
1772915830153,sta2,200,5.934
1772915830286,sta1,200,5.395
1772915830289,sta2,200,5.973
1772915830422,sta1,200,4.939
1772915830428,sta2,200,3.761
1772915830555,sta1,200,3.936
1772915830562,sta2,200,3.428
1772915830686,sta1,200,5.316
1772915830692,sta2,200,4.523
1772915830822,sta1,200,4.535
1772915830825,sta2,200,4.353
1772915830955,sta1,200,4.647
1772915830956,sta2,200,5.467
1772915831090,sta1,200,3.975
1772915831091,sta2,200,4.094
1772915831224,sta2,200,5.682
1772915831223,sta1,200,5.633
1772915831359,sta1,200,6.213
1772915831358,sta2,200,6.816
1772915831495,sta2,200,6.129
1772915831495,sta1,200,6.092
1772915831631,sta1,200,6.940
1772915831630,sta2,200,7.414
1772915831769,sta2,200,5.930
1772915831769,sta1,200,6.467
1772915831906,sta2,200,5.569
1772915831907,sta1,200,5.590
1772915832042,sta2,200,4.162
1772915832042,sta1,200,5.323
1772915832176,sta2,200,5.190
1772915832178,sta1,200,6.456
1772915832315,sta1,200,7.521
1772915832311,sta2,200,8.346
1772915832455,sta1,200,8.548
1772915832455,sta2,200,8.836
1772915832597,sta1,200,6.085
1772915832598,sta2,200,6.319
1772915832735,sta1,200,6.876
1772915832738,sta2,200,6.907
1772915832874,sta2,200,6.298
1772915832874,sta1,200,6.192
1772915833012,sta1,200,7.461
1772915833012,sta2,200,7.856
1772915833151,sta2,200,6.127
1772915833150,sta1,200,6.709
1772915833287,sta1,200,4.219
1772915833287,sta2,200,5.293
1772915833421,sta1,200,7.035
1772915833423,sta2,200,6.678
1772915833558,sta1,200,6.309
1772915833559,sta2,200,7.088
1772915833695,sta1,200,5.968
1772915833697,sta2,200,6.933
1772915833833,sta1,200,5.576
1772915833837,sta2,200,6.818
1772915833972,sta1,200,6.528
1772915833975,sta2,200,6.576
1772915834109,sta1,200,7.038
1772915834112,sta2,200,6.939
1772915834247,sta2,200,3.923
1772915834246,sta1,200,3.864
1772915834379,sta1,200,6.636
1772915834379,sta2,200,6.713
1772915834518,sta2,200,7.132
1772915834517,sta1,200,9.176
1772915834659,sta1,200,7.655
1772915834659,sta2,200,7.490
1772915834799,sta1,200,7.913
1772915834802,sta2,200,7.899
1772915834941,sta1,200,4.807
1772915834941,sta2,200,5.200
1772915835075,sta2,200,6.973
1772915835075,sta1,200,7.338
1772915835210,sta2,200,7.987
1772915835212,sta1,200,8.951
1772915835353,sta1,200,6.852
1772915835353,sta2,200,7.687
1772915835491,sta1,200,7.861
1772915835491,sta2,200,8.189
1772915835632,sta2,200,7.482
1772915835631,sta1,200,8.201
1772915835773,sta1,200,5.111
1772915835773,sta2,200,5.256
1772915835909,sta2,200,6.470
1772915835908,sta1,200,7.112
1772915836047,sta2,200,6.871
1772915836048,sta1,200,7.025
1772915836184,sta2,200,4.402
1772915836184,sta1,200,5.616
1772915836320,sta1,200,3.720
1772915836318,sta2,200,5.127
1772915836455,sta2,200,6.613
1772915836455,sta1,200,7.007
1772915836593,sta1,200,6.692
1772915836593,sta2,200,7.179
1772915836731,sta2,200,6.540
1772915836730,sta1,200,6.565
1772915836870,sta1,200,7.267
1772915836869,sta2,200,8.685
1772915837009,sta2,200,7.538
1772915837009,sta1,200,8.747
1772915837149,sta2,200,7.239
1772915837150,sta1,200,7.364
1772915837290,sta1,200,5.299
1772915837289,sta2,200,5.749
1772915837425,sta2,200,5.804
1772915837425,sta1,200,6.610
1772915837563,sta1,200,7.463
1772915837562,sta2,200,7.199
1772915837698,sta2,200,4.400
1772915837698,sta1,200,5.227
1772915837834,sta1,200,7.170
1772915837832,sta2,200,7.231
1772915837970,sta1,200,5.389
1772915837971,sta2,200,5.067
1772915838105,sta1,200,6.996
1772915838106,sta2,200,6.694
1772915838244,sta2,200,6.813
1772915838243,sta1,200,7.136
1772915838381,sta1,200,4.846
1772915838380,sta2,200,6.326
1772915838514,sta1,200,5.143
1772915838517,sta2,200,5.801
1772915838653,sta1,200,5.845
1772915838654,sta2,200,6.886
1772915838789,sta1,200,6.579
1772915838792,sta2,200,7.434
1772915838928,sta1,200,7.777
1772915838931,sta2,200,7.351
1772915839070,sta1,200,6.365
1772915839070,sta2,200,7.543
1772915839207,sta1,200,6.474
1772915839209,sta2,200,5.962
1772915839344,sta1,200,8.033
1772915839346,sta2,200,6.844
1772915839485,sta2,200,6.117
1772915839484,sta1,200,7.704
1772915839622,sta2,200,6.549
1772915839624,sta1,200,6.611
1772915839759,sta2,200,6.429
1772915839763,sta1,200,6.191
1772915839896,sta2,200,6.315
1772915839902,sta1,200,6.607
1772915840036,sta2,200,8.135
1772915840041,sta1,200,6.782
1772915840179,sta1,200,6.611
1772915840177,sta2,200,8.165
1772915840318,sta1,200,5.778
1772915840319,sta2,200,8.089
1772915840455,sta1,200,6.398
1772915840459,sta2,200,6.681
1772915840592,sta1,200,3.602
1772915840597,sta2,200,3.726
1772915840727,sta1,200,6.439
1772915840730,sta2,200,6.708
1772915840865,sta2,200,4.837
1772915840865,sta1,200,7.363
1772915840998,sta2,200,5.653
1772915841002,sta1,200,6.967
1772915841135,sta2,200,7.102
1772915841136,sta1,200,7.021
1772915841272,sta2,200,3.582
1772915841273,sta1,200,4.150
1772915841408,sta1,200,6.143
1772915841406,sta2,200,5.731
1772915841542,sta2,200,4.877
1772915841542,sta1,200,6.225
1772915841680,sta1,200,7.574
1772915841677,sta2,200,8.147
1772915841815,sta1,200,5.290
1772915841815,sta2,200,7.013
1772915841951,sta1,200,6.809
1772915841953,sta2,200,7.009
1772915842090,sta2,200,4.973
1772915842089,sta1,200,5.368
1772915842225,sta1,200,6.383
1772915842225,sta2,200,6.702
1772915842362,sta1,200,6.079
1772915842364,sta2,200,6.863
1772915842500,sta1,200,3.405
1772915842501,sta2,200,4.899
1772915842633,sta1,200,6.091
1772915842636,sta2,200,6.788
1772915842772,sta1,200,4.753
1772915842774,sta2,200,6.194
1772915842906,sta1,200,4.324
1772915842910,sta2,200,4.384
1772915843042,sta2,200,6.556
1772915843041,sta1,200,7.172
1772915843179,sta2,200,4.720
1772915843180,sta1,200,4.020
1772915843314,sta2,200,6.902
1772915843314,sta1,200,6.939
1772915843452,sta1,200,7.825
1772915843451,sta2,200,8.343
1772915843590,sta1,200,6.281
1772915843590,sta2,200,7.085
1772915843727,sta1,200,7.320
1772915843728,sta2,200,7.122
1772915843865,sta2,200,5.331
1772915843865,sta1,200,6.534
1772915844002,sta1,200,7.625
1772915844000,sta2,200,7.211
1772915844142,sta1,200,7.103
1772915844142,sta2,200,7.953
1772915844280,sta1,200,3.905
1772915844281,sta2,200,4.081
1772915844414,sta2,200,7.102
1772915844414,sta1,200,6.853
1772915844551,sta1,200,6.120
1772915844551,sta2,200,8.198
1772915844690,sta1,200,5.724
1772915844691,sta2,200,7.566
1772915844828,sta2,200,6.499
1772915844827,sta1,200,7.832
1772915844966,sta1,200,6.623
1772915844966,sta2,200,6.625
