ts_ms,sta,ap,rssi_dbm
1772736545731,sta1,ap1,-36
1772736545747,sta2,ap1,-36
1772736546750,sta1,ap1,-36
1772736546754,sta2,ap1,-36
1772736547757,sta1,ap1,-36
1772736547760,sta2,ap1,-36
1772736548764,sta1,ap1,-36
1772736548768,sta2,ap1,-36
1772736549772,sta1,ap1,-36
1772736549776,sta2,ap1,-36
1772736550779,sta1,ap1,-49
1772736550782,sta2,ap1,-49
1772736551786,sta1,ap1,-49
1772736551789,sta2,ap1,-49
1772736552798,sta1,ap1,-49
1772736552800,sta2,ap1,-49
1772736553805,sta1,ap1,-49
1772736553807,sta2,ap1,-49
1772736554815,sta1,ap1,-49
1772736554817,sta2,ap1,-49
1772736555822,sta1,ap1,-49
1772736555825,sta2,ap1,-49
1772736556829,sta1,ap1,-49
1772736556831,sta2,ap1,-49
1772736557836,sta1,ap1,-49
1772736557861,sta2,ap1,-49
1772736558866,sta1,ap1,-49
1772736558868,sta2,ap1,-49
1772736559873,sta1,ap1,-49
1772736559876,sta2,ap1,-49
1772736560880,sta1,ap1,-49
1772736560883,sta2,ap1,-49
1772736561886,sta1,ap1,-49
1772736561889,sta2,ap1,-49
1772736562901,sta1,ap1,-49
1772736562904,sta2,ap1,-49
1772736563908,sta1,ap1,-49
1772736563911,sta2,ap1,-49
1772736564915,sta1,ap1,-49
1772736564918,sta2,ap1,-49
1772736565926,sta1,ap1,-49
1772736565929,sta2,ap1,-49
1772736566933,sta1,ap1,-49
1772736566936,sta2,ap1,-49
1772736567941,sta1,ap1,-49
1772736567944,sta2,ap1,-49
1772736568948,sta1,ap1,-49
1772736568951,sta2,ap1,-49
1772736569957,sta1,ap1,-49
1772736569960,sta2,ap1,-49
1772736570962,sta1,ap1,-49
1772736570964,sta2,ap1,-49
