ts_ms,sta,status_code,latency_ms
1772650681024,sta2,200,18.249
1772650681028,sta1,200,22.090
1772650681093,sta2,200,18.162
1772650681095,sta1,200,16.824
1772650681161,sta2,200,17.324
1772650681162,sta1,200,16.852
1772650681230,sta1,200,17.293
1772650681230,sta2,200,19.006
1772650681297,sta2,200,16.451
1772650681297,sta1,200,17.310
1772650681367,sta2,200,19.293
1772650681367,sta1,200,19.281
1772650681437,sta2,200,19.870
1772650681438,sta1,200,20.396
1772650681505,sta1,200,16.892
1772650681507,sta2,200,18.711
1772650681572,sta1,200,16.813
1772650681574,sta2,200,17.152
1772650681641,sta1,200,18.500
1772650681642,sta2,200,17.931
1772650681711,sta2,200,17.914
1772650681711,sta1,200,19.022
1772650681779,sta1,200,17.129
1772650681780,sta2,200,18.523
1772650681848,sta1,200,18.648
1772650681848,sta2,200,18.188
1772650681918,sta2,200,19.203
1772650681918,sta1,200,19.670
1772650681987,sta2,200,18.832
1772650681988,sta1,200,19.789
1772650682056,sta1,200,17.303
1772650682056,sta2,200,18.360
1772650682123,sta1,200,17.016
1772650682124,sta2,200,16.969
1772650682192,sta2,200,17.748
1772650682192,sta1,200,18.692
1772650682262,sta1,200,19.520
1772650682262,sta2,200,20.312
1772650682333,sta1,200,20.050
1772650682333,sta2,200,20.190
1772650682403,sta2,200,19.159
1772650682403,sta1,200,19.818
1772650682473,sta1,200,19.945
1772650682474,sta2,200,20.274
1772650682544,sta2,200,19.423
1772650682544,sta1,200,19.748
1772650682613,sta2,200,18.339
1772650682614,sta1,200,19.239
1772650682682,sta1,200,17.771
1772650682682,sta2,200,19.135
1772650682750,sta2,200,17.981
1772650682751,sta1,200,18.549
1772650682820,sta1,200,18.495
1772650682820,sta2,200,19.158
1772650682888,sta1,200,17.112
1772650682888,sta2,200,17.094
1772650682955,sta1,200,16.737
1772650682955,sta2,200,16.816
1772650683024,sta1,200,18.192
1772650683024,sta2,200,18.250
1772650683090,sta1,200,15.517
1772650683090,sta2,200,15.453
1772650683157,sta1,200,16.932
1772650683157,sta2,200,17.203
1772650683226,sta1,200,18.033
1772650683226,sta2,200,18.636
1772650683295,sta1,200,19.124
1772650683295,sta2,200,18.592
1772650683366,sta1,200,20.203
1772650683366,sta2,200,20.177
1772650683436,sta1,200,19.670
1772650683437,sta2,200,20.313
1772650683505,sta2,200,17.879
1772650683505,sta1,200,18.300
1772650683573,sta1,200,16.907
1772650683573,sta2,200,17.790
1772650683640,sta1,200,16.690
1772650683641,sta2,200,17.367
1772650683710,sta2,200,18.288
1772650683710,sta1,200,19.696
1772650683780,sta1,200,19.247
1772650683780,sta2,200,19.833
1772650683848,sta1,200,17.316
1772650683876,sta2,200,18.562
1772650683915,sta1,200,17.096
1772650683942,sta2,200,16.424
1772650683984,sta1,200,18.521
1772650684010,sta2,200,17.121
