ts_ms,sta,status_code,latency_ms,ap,rssi_dbm
1772651443523,sta2,200,19.825,ap1,-36
1772651443525,sta1,200,22.107,ap1,-36
1772651443592,sta2,200,18.045,ap1,-36
1772651443595,sta1,200,19.676,ap1,-36
1772651443660,sta2,200,17.847,ap1,-36
1772651443664,sta1,200,18.057,ap1,-36
1772651443729,sta2,200,18.488,ap1,-36
1772651443733,sta1,200,18.69,ap1,-36
1772651443801,sta2,200,21.143,ap1,-36
1772651443803,sta1,200,19.907,ap1,-36
1772651443869,sta2,200,18.131,ap1,-36
1772651443870,sta1,200,16.258,ap1,-36
1772651443940,sta2,200,19.751,ap1,-36
1772651443940,sta1,200,19.65,ap1,-36
1772651444007,sta2,200,17.407,ap1,-36
1772651444008,sta1,200,17.49,ap1,-36
1772651444075,sta1,200,16.714,ap1,-36
1772651444075,sta2,200,16.931,ap1,-36
1772651444139,sta1,200,13.886,ap1,-36
1772651444139,sta2,200,13.835,ap1,-36
1772651444207,sta1,200,17.308,ap1,-36
1772651444207,sta2,200,17.467,ap1,-36
1772651444274,sta2,200,16.332,ap1,-36
1772651444274,sta1,200,16.529,ap1,-36
1772651444342,sta2,200,17.614,ap1,-36
1772651444342,sta1,200,17.49,ap1,-36
1772651444410,sta2,200,17.761,ap1,-36
1772651444410,sta1,200,17.692,ap1,-36
1772651444481,sta1,200,20.309,ap1,-36
1772651444481,sta2,200,20.511,ap1,-36
1772651444552,sta2,200,20.033,ap1,-36
1772651444552,sta1,200,20.367,ap1,-36
1772651444618,sta1,200,15.899,ap1,-36
1772651444619,sta2,200,17.157,ap1,-36
1772651444690,sta2,200,20.556,ap1,-36
1772651444690,sta1,200,21.7,ap1,-36
1772651444760,sta1,200,18.857,ap1,-36
1772651444760,sta2,200,19.022,ap1,-36
1772651444831,sta2,200,20.478,ap1,-36
1772651444831,sta1,200,20.868,ap1,-36
1772651444897,sta1,200,16.265,ap1,-36
1772651444898,sta2,200,16.516,ap1,-36
1772651444962,sta2,200,13.641,ap1,-36
1772651444963,sta1,200,15.425,ap1,-36
1772651445026,sta1,200,12.916,ap1,-36
1772651445028,sta2,200,15.79,ap1,-36
1772651445091,sta1,200,14.451,ap1,-36
1772651445093,sta2,200,15.326,ap1,-36
1772651445159,sta2,200,15.652,ap1,-36
1772651445159,sta1,200,17.645,ap1,-36
1772651445226,sta1,200,16.166,ap1,-36
1772651445226,sta2,200,16.757,ap1,-36
1772651445292,sta1,200,15.982,ap1,-36
1772651445293,sta2,200,16.299,ap1,-36
1772651445359,sta2,200,15.553,ap1,-36
1772651445359,sta1,200,16.238,ap1,-36
1772651445426,sta1,200,17.074,ap1,-36
1772651445426,sta2,200,17.303,ap1,-36
1772651445495,sta1,200,17.947,ap1,-36
1772651445495,sta2,200,18.202,ap1,-36
1772651445564,sta2,200,18.805,ap1,-36
1772651445565,sta1,200,19.528,ap1,-36
1772651445635,sta1,200,19.121,ap1,-36
1772651445635,sta2,200,19.826,ap1,-36
1772651445706,sta1,200,20.963,ap1,-36
1772651445706,sta2,200,21.009,ap1,-36
1772651445778,sta1,200,20.972,ap1,-36
1772651445778,sta2,200,21.145,ap1,-36
1772651445845,sta1,200,16.843,ap1,-36
1772651445846,sta2,200,17.714,ap1,-36
1772651445915,sta1,200,19.586,ap1,-36
1772651445915,sta2,200,18.839,ap1,-36
1772651445982,sta2,200,16.99,ap1,-36
1772651445983,sta1,200,17.805,ap1,-36
1772651446051,sta2,200,18.048,ap1,-36
1772651446054,sta1,200,20.225,ap1,-36
1772651446122,sta2,200,20.254,ap1,-36
1772651446122,sta1,200,17.797,ap1,-36
1772651446188,sta1,200,16.298,ap1,-36
1772651446190,sta2,200,18.361,ap1,-36
1772651446258,sta1,200,19.807,ap1,-36
1772651446259,sta2,200,18.837,ap1,-36
1772651446328,sta2,200,18.674,ap1,-36
1772651446329,sta1,200,20.396,ap1,-36
1772651446398,sta2,200,19.225,ap1,-36
1772651446399,sta1,200,19.148,ap1,-36
1772651446466,sta1,200,17.137,ap1,-36
1772651446466,sta2,200,17.853,ap1,-36
1772651446532,sta1,200,15.064,ap1,-36
1772651446534,sta2,200,17.071,ap1,-36
1772651446600,sta1,200,18.062,ap1,-36
1772651446601,sta2,200,16.666,ap1,-36
1772651446670,sta2,200,18.595,ap1,-36
1772651446670,sta1,200,19.146,ap1,-36
1772651446738,sta2,200,17.663,ap1,-36
1772651446739,sta1,200,18.265,ap1,-36
1772651446807,sta1,200,17.974,ap1,-36
1772651446808,sta2,200,19.218,ap1,-36
1772651446875,sta2,200,16.823,ap1,-36
1772651446876,sta1,200,18.024,ap1,-36
1772651446945,sta1,200,18.744,ap1,-36
1772651446945,sta2,200,19.62,ap1,-36
1772651447012,sta1,200,16.486,ap1,-36
1772651447012,sta2,200,16.539,ap1,-36
1772651447082,sta1,200,19.194,ap1,-36
1772651447082,sta2,200,19.242,ap1,-36
1772651447151,sta2,200,18.641,ap1,-36
1772651447151,sta1,200,19.043,ap1,-36
1772651447221,sta1,200,19.407,ap1,-36
1772651447222,sta2,200,19.789,ap1,-36
1772651447289,sta2,200,16.577,ap1,-36
1772651447290,sta1,200,17.77,ap1,-36
1772651447359,sta1,200,19.427,ap1,-36
1772651447360,sta2,200,20.12,ap1,-36
1772651447431,sta2,200,20.133,ap1,-36
1772651447431,sta1,200,21.091,ap1,-36
1772651447499,sta1,200,17.619,ap1,-36
1772651447500,sta2,200,18.773,ap1,-36
1772651447569,sta1,200,19.177,ap1,-36
1772651447569,sta2,200,18.379,ap1,-36
1772651447638,sta2,200,18.629,ap1,-36
1772651447638,sta1,200,18.985,ap1,-36
1772651447707,sta2,200,18.321,ap1,-36
1772651447707,sta1,200,18.371,ap1,-36
1772651447776,sta1,200,18.612,ap1,-36
1772651447777,sta2,200,19.081,ap1,-36
1772651447847,sta2,200,19.871,ap1,-36
1772651447847,sta1,200,20.961,ap1,-36
1772651447917,sta1,200,19.456,ap1,-36
1772651447918,sta2,200,20.227,ap1,-36
1772651447985,sta1,200,17.199,ap1,-36
1772651447986,sta2,200,17.959,ap1,-36
1772651448054,sta1,200,18.464,ap1,-36
1772651448055,sta2,200,18.619,ap1,-36
1772651448122,sta1,200,17.512,ap1,-36
1772651448122,sta2,200,17.01,ap1,-36
1772651448191,sta2,200,18.188,ap1,-36
1772651448191,sta1,200,18.775,ap1,-36
1772651448261,sta1,200,19.362,ap1,-36
1772651448261,sta2,200,19.714,ap1,-36
1772651448329,sta1,200,17.666,ap1,-36
1772651448330,sta2,200,18.08,ap1,-36
1772651448399,sta1,200,19.037,ap1,-36
1772651448399,sta2,200,18.806,ap1,-36
1772651448467,sta2,200,17.756,ap1,-36
1772651448468,sta1,200,18.297,ap1,-36
1772651448542,sta1,200,24.353,ap1,-36
1772651448542,sta2,200,24.898,ap1,-36
1772651448615,sta1,200,22.637,ap1,-36
1772651448616,sta2,200,23.657,ap1,-36
1772651448693,sta1,200,26.987,ap1,-36
1772651448694,sta2,200,26.854,ap1,-36
1772651448772,sta2,200,27.772,ap1,-36
1772651448772,sta1,200,29.151,ap1,-36
1772651448848,sta1,200,25.123,ap1,-36
1772651448848,sta2,200,25.9,ap1,-36
1772651448924,sta2,200,24.848,ap1,-36
1772651448924,sta1,200,25.756,ap1,-36
1772651448999,sta1,200,24.765,ap1,-36
1772651449000,sta2,200,25.961,ap1,-36
1772651449075,sta1,200,25.486,ap1,-36
1772651449076,sta2,200,25.872,ap1,-36
1772651449151,sta2,200,24.945,ap1,-36
1772651449152,sta1,200,25.927,ap1,-36
1772651449230,sta2,200,27.872,ap1,-36
1772651449230,sta1,200,27.611,ap1,-36
1772651449307,sta1,200,26.38,ap1,-36
1772651449307,sta2,200,26.965,ap1,-36
1772651449382,sta1,200,24.718,ap1,-36
1772651449383,sta2,200,25.335,ap1,-36
1772651449457,sta1,200,24.053,ap1,-36
1772651449458,sta2,200,24.792,ap1,-36
1772651449534,sta2,200,25.284,ap1,-36
1772651449534,sta1,200,26.311,ap1,-36
1772651449612,sta1,200,27.423,ap1,-36
1772651449612,sta2,200,27.587,ap1,-36
1772651449687,sta1,200,25.254,ap1,-36
1772651449688,sta2,200,25.208,ap1,-36
1772651449763,sta1,200,25.114,ap1,-36
1772651449763,sta2,200,24.941,ap1,-36
1772651449836,sta1,200,22.605,ap1,-36
1772651449838,sta2,200,25.072,ap1,-36
1772651449911,sta1,200,24.834,ap1,-36
1772651449912,sta2,200,22.926,ap1,-36
1772651449983,sta2,200,20.918,ap1,-36
1772651449986,sta1,200,24.81,ap1,-36
1772651450058,sta2,200,24.18,ap1,-36
1772651450060,sta1,200,23.478,ap1,-36
1772651450129,sta2,200,21.278,ap1,-36
1772651450131,sta1,200,20.966,ap1,-36
1772651450204,sta1,200,22.641,ap1,-36
1772651450204,sta2,200,24.464,ap1,-36
1772651450279,sta1,200,24.362,ap1,-36
1772651450279,sta2,200,24.378,ap1,-36
1772651450354,sta1,200,24.853,ap1,-36
1772651450354,sta2,200,24.826,ap1,-36
1772651450429,sta2,200,23.891,ap1,-36
1772651450429,sta1,200,24.103,ap1,-36
1772651450504,sta1,200,24.304,ap1,-36
1772651450504,sta2,200,24.553,ap1,-36
1772651450579,sta2,200,24.65,ap1,-36
1772651450579,sta1,200,24.858,ap1,-36
1772651450656,sta2,200,23.897,ap1,-36
1772651450656,sta1,200,23.721,ap1,-36
1772651450731,sta1,200,24.316,ap1,-36
1772651450731,sta2,200,24.767,ap1,-36
1772651450805,sta1,200,23.602,ap1,-36
1772651450806,sta2,200,23.844,ap1,-36
1772651450878,sta2,200,22.462,ap1,-36
1772651450879,sta1,200,23.103,ap1,-36
1772651450956,sta1,200,26.606,ap1,-36
1772651450956,sta2,200,27.103,ap1,-36
1772651451034,sta1,200,27.464,ap1,-36
1772651451034,sta2,200,28.159,ap1,-36
1772651451110,sta2,200,25.536,ap1,-36
1772651451111,sta1,200,26.504,ap1,-36
1772651451188,sta2,200,27.685,ap1,-36
1772651451189,sta1,200,27.984,ap1,-36
1772651451266,sta2,200,26.453,ap1,-36
1772651451266,sta1,200,26.331,ap1,-36
1772651451344,sta1,200,27.71,ap1,-36
1772651451345,sta2,200,28.469,ap1,-36
1772651451423,sta1,200,28.023,ap1,-36
1772651451423,sta2,200,27.762,ap1,-36
1772651451502,sta2,200,28.365,ap1,-36
