ts_ms,sta,ap,rssi_dbm
1772825782902,sta1,ap1-wlan1,-56.0
1772825782902,sta2,ap1-wlan1,-56.0
1772825786039,sta2,ap1-wlan1,-56.0
1772825786040,sta1,ap1-wlan1,-56.0
1772825789111,sta2,ap1-wlan1,-56.0
1772825789111,sta1,ap1-wlan1,-56.0
1772825792183,sta2,ap1-wlan1,-56.0
1772825792184,sta1,ap1-wlan1,-56.0
1772825795255,sta1,ap1-wlan1,-56.0
1772825795256,sta2,ap1-wlan1,-56.0
1772825798327,sta1,ap1-wlan1,-56.0
1772825798328,sta2,ap1-wlan1,-56.0
1772825801400,sta2,ap1-wlan1,-56.0
1772825801401,sta1,ap1-wlan1,-56.0
1772825804471,sta1,ap1-wlan1,-56.0
1772825804472,sta2,ap1-wlan1,-56.0
1772825807544,sta2,ap1-wlan1,-56.0
1772825807544,sta1,ap1-wlan1,-56.0
1772825810614,sta1,ap1-wlan1,-56.0
1772825810614,sta2,ap1-wlan1,-56.0
1772825813687,sta1,ap1-wlan1,-56.0
1772825813687,sta2,ap1-wlan1,-56.0
1772825816759,sta1,ap1-wlan1,-56.0
1772825816759,sta2,ap1-wlan1,-56.0
1772825819831,sta2,ap1-wlan1,-56.0
1772825819831,sta1,ap1-wlan1,-56.0
1772825822903,sta1,ap1-wlan1,-56.0
1772825822903,sta2,ap1-wlan1,-56.0
1772825825975,sta2,ap1-wlan1,-56.0
1772825825975,sta1,ap1-wlan1,-56.0
1772825829046,sta2,ap1-wlan1,-56.0
1772825829046,sta1,ap1-wlan1,-56.0
1772825832119,sta1,ap1-wlan1,-56.0
1772825832119,sta2,ap1-wlan1,-56.0
1772825835191,sta2,ap1-wlan1,-56.0
1772825835191,sta1,ap1-wlan1,-56.0
1772825838262,sta2,ap1-wlan1,-56.0
1772825838262,sta1,ap1-wlan1,-56.0
1772825841335,sta1,ap1-wlan1,-56.0
1772825841336,sta2,ap1-wlan1,-56.0
1772825844407,sta2,ap1-wlan1,-56.0
1772825844408,sta1,ap1-wlan1,-56.0
1772825847479,sta1,ap1-wlan1,-56.0
1772825847479,sta2,ap1-wlan1,-56.0
1772825850552,sta2,ap1-wlan1,-56.0
1772825850552,sta1,ap1-wlan1,-56.0
1772825853624,sta1,ap1-wlan1,-56.0
1772825853624,sta2,ap1-wlan1,-56.0
1772825856696,sta2,ap1-wlan1,-56.0
1772825856697,sta1,ap1-wlan1,-56.0
1772825859767,sta2,ap1-wlan1,-56.0
1772825859768,sta1,ap1-wlan1,-56.0
