ts_ms,sta,ap,rssi_dbm
1772754589750,sta1,ap1-wlan1,-56
1772754589750,sta2,ap1-wlan1,-56
1772754590751,sta1,ap1-wlan1,-56
1772754590751,sta2,ap1-wlan1,-56
1772754591751,sta1,ap1-wlan1,-56
1772754591751,sta2,ap1-wlan1,-56
1772754592752,sta1,ap1-wlan1,-56
1772754592752,sta2,ap1-wlan1,-56
1772754593752,sta1,ap1-wlan1,-56
1772754593752,sta2,ap1-wlan1,-56
1772754594753,sta1,ap1-wlan1,-56
1772754594753,sta2,ap1-wlan1,-56
1772754595753,sta1,ap1-wlan1,-56
1772754595753,sta2,ap1-wlan1,-56
1772754596754,sta1,ap1-wlan1,-56
1772754596754,sta2,ap1-wlan1,-56
1772754597754,sta1,ap2-wlan1,-45
1772754597754,sta2,ap2-wlan1,-45
1772754598755,sta1,ap2-wlan1,-45
1772754598755,sta2,ap2-wlan1,-45
1772754599755,sta1,ap2-wlan1,-45
1772754599755,sta2,ap2-wlan1,-45
1772754600755,sta1,ap2-wlan1,-45
1772754600755,sta2,ap2-wlan1,-45
1772754601756,sta1,ap2-wlan1,-45
1772754601756,sta2,ap2-wlan1,-45
1772754602756,sta1,ap2-wlan1,-45
1772754602756,sta2,ap2-wlan1,-45
1772754603756,sta1,ap2-wlan1,-45
1772754603756,sta2,ap2-wlan1,-45
1772754604757,sta1,ap2-wlan1,-45
1772754604757,sta2,ap2-wlan1,-45
1772754605757,sta1,ap2-wlan1,-45
1772754605757,sta2,ap2-wlan1,-45
1772754606757,sta1,ap2-wlan1,-45
1772754606757,sta2,ap2-wlan1,-45
1772754607757,sta1,ap2-wlan1,-45
1772754607757,sta2,ap2-wlan1,-45
1772754608758,sta1,ap2-wlan1,-45
1772754608758,sta2,ap2-wlan1,-45
1772754609758,sta1,ap2-wlan1,-45
1772754609758,sta2,ap2-wlan1,-45
1772754610758,sta1,ap2-wlan1,-45
1772754610758,sta2,ap2-wlan1,-45
1772754611758,sta1,ap2-wlan1,-45
1772754611758,sta2,ap2-wlan1,-45
1772754612759,sta1,ap2-wlan1,-45
1772754612759,sta2,ap2-wlan1,-45
1772754613759,sta1,ap2-wlan1,-45
1772754613759,sta2,ap2-wlan1,-45
1772754614760,sta1,ap2-wlan1,-45
1772754614760,sta2,ap2-wlan1,-45
1772754615760,sta1,ap2-wlan1,-45
1772754615760,sta2,ap2-wlan1,-45
1772754616760,sta1,ap2-wlan1,-45
1772754616760,sta2,ap2-wlan1,-45
1772754617761,sta1,ap2-wlan1,-45
1772754617761,sta2,ap2-wlan1,-45
1772754618761,sta1,ap2-wlan1,-45
1772754618761,sta2,ap2-wlan1,-45
1772754619761,sta1,ap2-wlan1,-45
1772754619761,sta2,ap2-wlan1,-45
1772754620762,sta1,ap2-wlan1,-45
1772754620762,sta2,ap2-wlan1,-45
1772754621762,sta1,ap2-wlan1,-45
1772754621762,sta2,ap2-wlan1,-45
1772754622762,sta1,ap2-wlan1,-45
1772754622762,sta2,ap2-wlan1,-45
1772754623763,sta1,ap2-wlan1,-45
1772754623763,sta2,ap2-wlan1,-45
1772754624763,sta1,ap2-wlan1,-45
1772754624763,sta2,ap2-wlan1,-45
1772754625764,sta1,ap2-wlan1,-45
1772754625764,sta2,ap2-wlan1,-45
1772754626764,sta1,ap2-wlan1,-45
1772754626764,sta2,ap2-wlan1,-45
1772754627765,sta1,ap2-wlan1,-45
1772754627765,sta2,ap2-wlan1,-45
1772754628765,sta1,ap2-wlan1,-45
1772754628765,sta2,ap2-wlan1,-45
1772754629765,sta1,ap2-wlan1,-45
1772754629765,sta2,ap2-wlan1,-45
1772754630765,sta1,ap2-wlan1,-45
1772754630765,sta2,ap2-wlan1,-45
1772754631766,sta1,ap2-wlan1,-45
1772754631766,sta2,ap2-wlan1,-45
1772754632766,sta1,ap2-wlan1,-45
1772754632766,sta2,ap2-wlan1,-45
1772754633766,sta1,ap2-wlan1,-45
1772754633766,sta2,ap2-wlan1,-45
1772754634767,sta1,ap2-wlan1,-45
1772754634767,sta2,ap2-wlan1,-45
1772754635767,sta1,ap2-wlan1,-45
1772754635767,sta2,ap2-wlan1,-45
1772754636768,sta1,ap2-wlan1,-45
1772754636768,sta2,ap2-wlan1,-45
1772754637768,sta1,ap2-wlan1,-45
1772754637768,sta2,ap2-wlan1,-45
1772754638768,sta1,ap2-wlan1,-45
1772754638768,sta2,ap2-wlan1,-45
1772754639769,sta1,ap2-wlan1,-45
1772754639769,sta2,ap2-wlan1,-45
1772754640769,sta1,ap2-wlan1,-45
1772754640769,sta2,ap2-wlan1,-45
1772754641769,sta1,ap2-wlan1,-45
1772754641769,sta2,ap2-wlan1,-45
1772754642769,sta1,ap2-wlan1,-45
1772754642769,sta2,ap2-wlan1,-45
1772754643770,sta1,ap2-wlan1,-45
1772754643770,sta2,ap2-wlan1,-45
1772754644770,sta1,ap2-wlan1,-45
1772754644770,sta2,ap2-wlan1,-45
