ts_ms,sta,status_code,latency_ms
1772651165684,sta2,200,18.246
1772651165685,sta1,200,19.764
1772651165753,sta1,200,17.154
1772651165753,sta2,200,18.133
1772651165821,sta2,200,17.220
1772651165822,sta1,200,17.887
1772651165888,sta2,200,16.960
1772651165889,sta1,200,17.241
1772651165958,sta1,200,18.783
1772651165958,sta2,200,19.288
1772651166029,sta1,200,19.786
1772651166029,sta2,200,20.157
1772651166098,sta1,200,19.055
1772651166099,sta2,200,19.524
1772651166166,sta2,200,17.105
1772651166167,sta1,200,17.794
1772651166235,sta2,200,17.618
1772651166235,sta1,200,17.709
1772651166306,sta1,200,20.290
1772651166306,sta2,200,21.211
1772651166374,sta1,200,17.899
1772651166376,sta2,200,19.127
1772651166445,sta1,200,19.810
1772651166445,sta2,200,18.792
1772651166515,sta1,200,19.720
1772651166515,sta2,200,19.979
1772651166582,sta1,200,16.703
1772651166583,sta2,200,17.577
1772651166651,sta1,200,18.676
1772651166651,sta2,200,17.781
1772651166720,sta1,200,18.640
1772651166720,sta2,200,18.739
1772651166788,sta2,200,16.766
1772651166788,sta1,200,17.376
1772651166855,sta1,200,16.324
1772651166855,sta2,200,16.768
1772651166922,sta1,200,16.988
1772651166924,sta2,200,18.376
1772651166993,sta2,200,19.273
1772651166993,sta1,200,20.863
1772651167062,sta2,200,18.586
1772651167063,sta1,200,18.694
1772651167129,sta1,200,16.581
1772651167130,sta2,200,17.173
1772651167200,sta1,200,20.069
1772651167200,sta2,200,19.611
1772651167268,sta1,200,17.672
1772651167270,sta2,200,18.870
1772651167339,sta1,200,19.567
1772651167339,sta2,200,18.437
1772651167407,sta1,200,18.301
1772651167408,sta2,200,18.550
1772651167478,sta2,200,19.462
1772651167478,sta1,200,20.074
1772651167545,sta1,200,16.576
1772651167546,sta2,200,17.375
1772651167617,sta1,200,21.308
1772651167617,sta2,200,20.878
1772651167686,sta1,200,18.280
1772651167687,sta2,200,19.075
1772651167754,sta1,200,17.324
1772651167754,sta2,200,16.880
1772651167822,sta1,200,17.624
1772651167823,sta2,200,18.119
1772651167889,sta1,200,17.033
1772651167891,sta2,200,17.761
1772651167958,sta1,200,18.641
