ts_ms,sta,ap,rssi_dbm
1772832998941,sta2,,
1772832999942,sta1,,
1772832999942,sta2,,
1772833000942,sta1,,
1772833000942,sta2,,
1772833001942,sta1,,
1772833001942,sta2,,
1772833002942,sta1,,
1772833002942,sta2,,
1772833003942,sta1,,
1772833003942,sta2,,
1772833004943,sta1,,
1772833004943,sta2,,
1772833005943,sta1,,
1772833005943,sta2,,
1772833006943,sta1,,
1772833006943,sta2,,
1772833007943,sta1,,
1772833007943,sta2,,
1772833008943,sta1,,
1772833008943,sta2,,
1772833009944,sta1,,
1772833009944,sta2,,
1772833010944,sta1,,
1772833010944,sta2,,
1772833011944,sta1,,
1772833011944,sta2,,
1772833012944,sta1,,
1772833012944,sta2,,
1772833013944,sta1,,
1772833013944,sta2,,
1772833014945,sta1,,
1772833014945,sta2,,
1772833015945,sta1,,
1772833015945,sta2,,
1772833016945,sta1,,
1772833016945,sta2,,
1772833017945,sta1,,
1772833017945,sta2,,
1772833018945,sta1,,
1772833018945,sta2,,
1772833019945,sta1,,
1772833019945,sta2,,
1772833020946,sta1,,
1772833020946,sta2,,
1772833021946,sta1,,
1772833021946,sta2,,
1772833022946,sta1,,
1772833022946,sta2,,
1772833023946,sta1,,
1772833023946,sta2,,
1772833024946,sta1,,
1772833024946,sta2,,
1772833025947,sta1,,
1772833025947,sta2,,
1772833026947,sta1,,
1772833026947,sta2,,
1772833027947,sta1,,
1772833027947,sta2,,
1772833028947,sta1,,
1772833028947,sta2,,
1772833029947,sta1,,
1772833029947,sta2,,
1772833030948,sta1,,
1772833030948,sta2,,
1772833031948,sta1,,
1772833031948,sta2,,
1772833032948,sta1,,
1772833032948,sta2,,
1772833033948,sta1,,
1772833033948,sta2,,
1772833034948,sta1,,
1772833034948,sta2,,
1772833035948,sta1,,
1772833035948,sta2,,
1772833036949,sta1,,
1772833036949,sta2,,
1772833037949,sta1,,
1772833037949,sta2,,
1772833038949,sta1,,
1772833038949,sta2,,
1772833039949,sta1,,
1772833039949,sta2,,
1772833040949,sta1,,
1772833040949,sta2,,
1772833041950,sta1,,
1772833041950,sta2,,
1772833042950,sta1,,
1772833042950,sta2,,
1772833043950,sta1,,
1772833043950,sta2,,
1772833044950,sta1,,
1772833044950,sta2,,
1772833045950,sta1,,
1772833045950,sta2,,
1772833046951,sta1,,
1772833046951,sta2,,
1772833047951,sta1,,
1772833047951,sta2,,
1772833048951,sta1,,
1772833048951,sta2,,
1772833049951,sta1,,
1772833049951,sta2,,
1772833050952,sta1,,
1772833050952,sta2,,
1772833051952,sta1,,
1772833051952,sta2,,
1772833052952,sta1,,
1772833052952,sta2,,
1772833053952,sta1,,
1772833053952,sta2,,
1772833054952,sta1,,
1772833054952,sta2,,
1772833055953,sta1,,
1772833055953,sta2,,
1772833056953,sta1,,
1772833056953,sta2,,
1772833057953,sta1,,
1772833057953,sta2,,
1772833058953,sta1,,
1772833058953,sta2,,
1772833059953,sta1,,
1772833059953,sta2,,
1772833060954,sta1,,
1772833060954,sta2,,
1772833061954,sta1,,
1772833061954,sta2,,
1772833062954,sta1,,
1772833062954,sta2,,
1772833063954,sta1,,
1772833063954,sta2,,
1772833064954,sta1,,
1772833064954,sta2,,
1772833065954,sta1,,
1772833065954,sta2,,
1772833066955,sta1,,
1772833066955,sta2,,
1772833067955,sta1,,
1772833067955,sta2,,
1772833068955,sta1,,
1772833068955,sta2,,
1772833069955,sta1,,
1772833069955,sta2,,
1772833070956,sta1,,
1772833070956,sta2,,
1772833071956,sta1,,
1772833071956,sta2,,
1772833072956,sta1,,
1772833072956,sta2,,
1772833073956,sta1,,
1772833073956,sta2,,
1772833074957,sta1,,
1772833074957,sta2,,
1772833075957,sta1,,
1772833075957,sta2,,
1772833076957,sta1,,
1772833076957,sta2,,
1772833077957,sta1,,
1772833077957,sta2,,
1772833078958,sta1,,
1772833078958,sta2,,
1772833079958,sta1,,
1772833079958,sta2,,
1772833080958,sta1,,
1772833080958,sta2,,
1772833081958,sta1,,
1772833081958,sta2,,
1772833082958,sta1,,
1772833082958,sta2,,
1772833083959,sta1,,
1772833083959,sta2,,
1772833084959,sta1,,
1772833084959,sta2,,
1772833085959,sta1,,
1772833085959,sta2,,
1772833086959,sta1,,
1772833086959,sta2,,
1772833087959,sta1,,
1772833087959,sta2,,
1772833088960,sta1,,
1772833088960,sta2,,
1772833089960,sta1,,
1772833089960,sta2,,
1772833090960,sta1,,
1772833090960,sta2,,
1772833091960,sta1,,
1772833091960,sta2,,
1772833092960,sta1,,
1772833092960,sta2,,
1772833093961,sta1,,
1772833093961,sta2,,
1772833094961,sta1,,
1772833094961,sta2,,
1772833095962,sta1,,
1772833095962,sta2,,
1772833096962,sta1,,
1772833096962,sta2,,
1772833097962,sta1,,
1772833097962,sta2,,
1772833098962,sta1,,
1772833098962,sta2,,
1772833099966,sta1,,
1772833099966,sta2,,
1772833100966,sta1,,
1772833100966,sta2,,
1772833101967,sta1,,
1772833101967,sta2,,
1772833102967,sta1,,
1772833102967,sta2,,
1772833103967,sta1,,
1772833103967,sta2,,
1772833104968,sta1,,
1772833104968,sta2,,
1772833105968,sta1,,
1772833105968,sta2,,
1772833106969,sta1,,
1772833106969,sta2,,
1772833107969,sta1,,
1772833107969,sta2,,
1772833108969,sta1,,
1772833108969,sta2,,
1772833109969,sta1,,
1772833109969,sta2,,
1772833110970,sta1,,
1772833110970,sta2,,
1772833111970,sta1,,
1772833111970,sta2,,
1772833112970,sta1,,
1772833112970,sta2,,
1772833113970,sta1,,
1772833113970,sta2,,
1772833114971,sta1,,
1772833114971,sta2,,
1772833115971,sta1,,
1772833115971,sta2,,
1772833116971,sta1,,
1772833116971,sta2,,
1772833117972,sta1,,
1772833117972,sta2,,
1772833118972,sta1,,
1772833118972,sta2,,
1772833119972,sta1,,
1772833119972,sta2,,
1772833120973,sta1,,
1772833120973,sta2,,
1772833121973,sta1,,
1772833121973,sta2,,
1772833122973,sta1,,
1772833122973,sta2,,
1772833123973,sta1,,
1772833123973,sta2,,
1772833124974,sta1,,
1772833124974,sta2,,
1772833125974,sta1,,
1772833125974,sta2,,
1772833126974,sta1,,
1772833126974,sta2,,
1772833127974,sta1,,
1772833127974,sta2,,
1772833128975,sta1,,
1772833128975,sta2,,
1772833129975,sta1,,
1772833129975,sta2,,
1772833130975,sta1,,
1772833130975,sta2,,
1772833131975,sta1,,
1772833131975,sta2,,
1772833132976,sta1,,
1772833132976,sta2,,
1772833133976,sta1,,
1772833133976,sta2,,
1772833134976,sta1,,
1772833134976,sta2,,
1772833135976,sta1,,
1772833135976,sta2,,
1772833136977,sta1,,
1772833136977,sta2,,
1772833137977,sta1,,
1772833137977,sta2,,
1772833138977,sta1,,
1772833138977,sta2,,
1772833139977,sta1,,
1772833139977,sta2,,
1772833140977,sta1,,
1772833140977,sta2,,
1772833141978,sta1,,
1772833141978,sta2,,
1772833142978,sta1,,
1772833142978,sta2,,
1772833143978,sta1,,
1772833143978,sta2,,
1772833144978,sta1,,
1772833144978,sta2,,
1772833145979,sta1,,
1772833145979,sta2,,
1772833146979,sta1,,
1772833146979,sta2,,
1772833147979,sta1,,
1772833147979,sta2,,
1772833148979,sta1,,
1772833148979,sta2,,
1772833149980,sta1,,
1772833149980,sta2,,
1772833150980,sta1,,
1772833150980,sta2,,
1772833151981,sta1,,
1772833151981,sta2,,
1772833152981,sta1,,
1772833152981,sta2,,
1772833153981,sta1,,
1772833153981,sta2,,
1772833154982,sta1,,
1772833154982,sta2,,
1772833155982,sta1,,
1772833155982,sta2,,
1772833156982,sta1,,
1772833156982,sta2,,
1772833157983,sta1,,
1772833157983,sta2,,
1772833158983,sta1,,
1772833158983,sta2,,
1772833159983,sta1,,
1772833159983,sta2,,
1772833160984,sta1,,
1772833160984,sta2,,
1772833161984,sta1,,
1772833161984,sta2,,
1772833162985,sta1,,
1772833162985,sta2,,
1772833163985,sta1,,
1772833163985,sta2,,
1772833164985,sta1,,
1772833164985,sta2,,
1772833165985,sta1,,
1772833165985,sta2,,
1772833166986,sta1,,
1772833166986,sta2,,
1772833167986,sta1,,
1772833167986,sta2,,
1772833168986,sta1,,
