ts_ms,sta,status_code,latency_ms
1772648530487,sta2,200,16.685
1772648530490,sta1,200,20.696
1772648530555,sta2,200,17.181
1772648530557,sta1,200,16.417
1772648530623,sta2,200,17.661
1772648530624,sta1,200,16.292
1772648530692,sta2,200,18.606
1772648530692,sta1,200,18.215
1772648530760,sta2,200,17.161
1772648530761,sta1,200,17.795
1772648530829,sta1,200,18.051
1772648530830,sta2,200,19.141
1772648530900,sta2,200,20.211
1772648530901,sta1,200,20.494
1772648530970,sta1,200,19.411
1772648530971,sta2,200,19.871
1772648531039,sta2,200,17.214
1772648531039,sta1,200,18.464
1772648531109,sta1,200,19.132
1772648531109,sta2,200,20.268
1772648531176,sta1,200,17.072
1772648531177,sta2,200,17.553
1772648531246,sta1,200,19.286
1772648531247,sta2,200,18.805
1772648531316,sta1,200,18.622
1772648531316,sta2,200,18.349
1772648531383,sta2,200,17.039
1772648531384,sta1,200,18.018
1772648531454,sta1,200,19.432
1772648531454,sta2,200,20.289
1772648531521,sta1,200,16.956
1772648531521,sta2,200,16.954
1772648531591,sta1,200,19.306
1772648531591,sta2,200,19.658
1772648531660,sta2,200,17.714
1772648531660,sta1,200,17.983
1772648531729,sta1,200,19.127
1772648531730,sta2,200,19.545
1772648531801,sta1,200,20.873
1772648531801,sta2,200,20.926
1772648531869,sta1,200,18.025
1772648531870,sta2,200,18.785
1772648531939,sta2,200,17.920
1772648531939,sta1,200,18.799
1772648532006,sta2,200,17.188
1772648532007,sta1,200,17.711
1772648532077,sta2,200,20.169
1772648532078,sta1,200,19.736
1772648532145,sta1,200,17.443
1772648532146,sta2,200,17.782
1772648532212,sta2,200,15.801
1772648532212,sta1,200,16.700
1772648532282,sta2,200,19.082
1772648532282,sta1,200,18.878
1772648532352,sta1,200,19.190
1772648532352,sta2,200,20.017
1772648532420,sta2,200,17.715
1772648532421,sta1,200,18.397
1772648532489,sta1,200,18.479
1772648532490,sta2,200,19.017
1772648532558,sta2,200,17.820
1772648532558,sta1,200,17.758
1772648532627,sta2,200,18.533
1772648532627,sta1,200,18.898
1772648532698,sta1,200,20.814
1772648532699,sta2,200,21.557
1772648532767,sta2,200,17.541
1772648532767,sta1,200,18.594
1772648532837,sta1,200,19.706
1772648532838,sta2,200,20.814
1772648532905,sta1,200,16.631
1772648532905,sta2,200,16.428
1772648532972,sta2,200,16.917
1772648532973,sta1,200,17.613
1772648533040,sta1,200,16.690
1772648533041,sta2,200,17.843
1772648533110,sta1,200,19.618
1772648533110,sta2,200,19.290
1772648533181,sta1,200,20.202
1772648533181,sta2,200,20.257
1772648533251,sta1,200,19.347
1772648533251,sta2,200,19.498
1772648533322,sta1,200,20.967
1772648533322,sta2,200,20.887
1772648533390,sta2,200,17.302
1772648533391,sta1,200,17.627
1772648533457,sta1,200,16.086
1772648533458,sta2,200,17.897
1772648533529,sta2,200,20.101
1772648533531,sta1,200,24.016
1772648533596,sta2,200,16.140
1772648533598,sta1,200,15.741
1772648533664,sta1,200,16.125
1772648533664,sta2,200,18.289
1772648533734,sta1,200,19.214
1772648533734,sta2,200,19.321
1772648533802,sta1,200,17.973
1772648533804,sta2,200,16.237
1772648533869,sta1,200,16.573
1772648533871,sta2,200,16.759
1772648533936,sta1,200,16.585
1772648533938,sta2,200,16.496
1772648534003,sta1,200,16.393
1772648534004,sta2,200,16.188
1772648534073,sta1,200,19.506
1772648534073,sta2,200,18.525
1772648534141,sta2,200,17.536
1772648534142,sta1,200,18.394
1772648534211,sta1,200,18.318
1772648534211,sta2,200,19.069
1772648534278,sta2,200,16.849
1772648534279,sta1,200,17.922
1772648534347,sta2,200,17.875
1772648534347,sta1,200,17.683
1772648534414,sta2,200,17.228
1772648534415,sta1,200,17.531
1772648534483,sta2,200,17.859
1772648534483,sta1,200,17.569
1772648534551,sta2,200,18.506
1772648534552,sta1,200,18.766
1772648534621,sta1,200,18.488
1772648534621,sta2,200,19.169
1772648534690,sta1,200,18.307
1772648534690,sta2,200,18.769
1772648534760,sta1,200,19.843
1772648534760,sta2,200,19.657
1772648534830,sta1,200,19.803
1772648534831,sta2,200,19.854
1772648534901,sta1,200,19.921
1772648534901,sta2,200,20.005
1772648534971,sta2,200,19.053
1772648534971,sta1,200,19.701
1772648535040,sta1,200,18.796
1772648535040,sta2,200,19.377
1772648535110,sta1,200,19.498
1772648535110,sta2,200,19.418
1772648535178,sta1,200,16.860
1772648535178,sta2,200,17.349
1772648535245,sta1,200,17.158
1772648535247,sta2,200,18.102
1772648535314,sta2,200,16.431
1772648535314,sta1,200,18.034
1772648535382,sta2,200,17.175
1772648535382,sta1,200,17.657
1772648535451,sta1,200,18.059
1772648535452,sta2,200,19.533
1772648535520,sta2,200,17.743
1772648535520,sta1,200,18.918
1772648535587,sta1,200,16.155
1772648535588,sta2,200,17.404
1772648535655,sta2,200,17.437
1772648535656,sta1,200,18.574
1772648535726,sta1,200,19.553
1772648535727,sta2,200,20.657
1772648535797,sta1,200,19.971
1772648535797,sta2,200,20.270
1772648535867,sta1,200,20.128
1772648535868,sta2,200,20.315
1772648535937,sta1,200,18.960
1772648535937,sta2,200,19.334
1772648536006,sta1,200,18.902
1772648536007,sta2,200,19.347
1772648536076,sta1,200,19.233
1772648536076,sta2,200,19.066
1772648536146,sta1,200,19.130
1772648536146,sta2,200,19.160
1772648536216,sta1,200,19.475
1772648536216,sta2,200,19.264
1772648536286,sta1,200,19.273
1772648536286,sta2,200,19.054
1772648536353,sta2,200,16.725
1772648536353,sta1,200,17.196
1772648536423,sta1,200,19.581
1772648536424,sta2,200,20.014
1772648536493,sta1,200,19.365
1772648536494,sta2,200,19.128
1772648536563,sta1,200,19.131
1772648536563,sta2,200,19.038
1772648536633,sta1,200,19.861
1772648536634,sta2,200,19.892
1772648536701,sta1,200,17.530
1772648536702,sta2,200,18.429
1772648536769,sta1,200,16.703
1772648536770,sta2,200,17.323
1772648536840,sta2,200,19.283
1772648536840,sta1,200,20.813
1772648536908,sta2,200,17.095
1772648536908,sta1,200,17.641
1772648536978,sta1,200,19.031
1772648536978,sta2,200,19.873
1772648537046,sta1,200,18.146
1772648537047,sta2,200,18.731
1772648537116,sta2,200,18.799
1772648537116,sta1,200,19.606
1772648537183,sta2,200,16.457
