ts_ms,sta,ap,rssi_dbm
1772737084379,sta1,ap1,-36
1772737084389,sta2,ap1,-36
1772737085391,sta1,ap1,-36
1772737085392,sta2,ap1,-36
1772737086396,sta1,ap1,-36
1772737086399,sta2,ap1,-36
1772737087402,sta1,ap1,-36
1772737087405,sta2,ap1,-36
1772737088409,sta1,ap1,-36
1772737088412,sta2,ap1,-36
1772737089415,sta1,ap1,-49
1772737089418,sta2,ap1,-49
1772737090432,sta1,ap1,-49
1772737090435,sta2,ap1,-49
1772737091438,sta1,ap1,-49
1772737091441,sta2,ap1,-49
1772737092456,sta1,ap1,-49
1772737092459,sta2,ap1,-49
1772737093463,sta1,ap1,-49
1772737093466,sta2,ap1,-49
1772737094469,sta1,ap1,-49
1772737094472,sta2,ap1,-49
1772737095494,sta1,ap1,-49
1772737095496,sta2,ap1,-49
1772737096500,sta1,ap1,-49
1772737096503,sta2,ap1,-49
1772737097507,sta1,ap1,-49
1772737097510,sta2,ap1,-49
1772737098521,sta1,ap1,-49
1772737098524,sta2,ap1,-49
1772737099528,sta1,ap1,-49
1772737099531,sta2,ap1,-49
1772737100537,sta1,ap1,-49
1772737100540,sta2,ap1,-49
1772737101544,sta1,ap1,-49
1772737102437,sta2,ap1,-49
1772737103449,sta1,ap1,-49
1772737103451,sta2,ap1,-49
1772737104455,sta1,ap1,-49
1772737104458,sta2,ap1,-49
1772737105473,sta1,ap1,-49
1772737105474,sta2,ap1,-49
1772737106478,sta1,ap1,-49
1772737106481,sta2,ap1,-49
1772737107483,sta1,ap1,-49
1772737107485,sta2,ap1,-49
1772737108488,sta1,ap1,-49
1772737108491,sta2,ap1,-49
1772737109493,sta1,ap1,-49
1772737109494,sta2,ap1,-49
